Site ID,M36/0473
Site Name,M36/0473
Site ID,SampleID,Collection Date,Measurement,Value,Units
"M36/0473","20205928","10-Nov 2020 12:18pm","Chloride","6.300","mg/L"
"M36/0473","20205928","10-Nov 2020 12:18pm","Conductivity","13.2","mS/m"
"M36/0473","20205928","10-Nov 2020 12:18pm","Conductivity (Field)","12.98","mS/m"
"M36/0473","20205928","10-Nov 2020 12:18pm","Difference in Ion Balance","1.770","%"
"M36/0473","20205928","10-Nov 2020 12:18pm","Dissolved Oxygen","2.660","mg/L"
"M36/0473","20205928","10-Nov 2020 12:18pm","Dissolved Oxygen Saturation","24.800","%"
"M36/0473","20205928","10-Nov 2020 12:18pm","Dissolved Reactive Phosphorus","0.0137","mg/L"
"M36/0473","20205928","10-Nov 2020 12:18pm","E. coli","<1","MPN/100mL"
"M36/0473","20205928","10-Nov 2020 12:18pm","Fluoride","0.090","g/m3"
"M36/0473","20205928","10-Nov 2020 12:18pm","Hardness, Total","44.000","g/m3 as CaCO3"
"M36/0473","20205928","10-Nov 2020 12:18pm","Iron, Dissolved","<0.020","mg/L"
"M36/0473","20205928","10-Nov 2020 12:18pm","Magnesium, Dissolved","3.500","mg/L"
"M36/0473","20205928","10-Nov 2020 12:18pm","Manganese, Dissolved","<0.0005","mg/L"
"M36/0473","20205928","10-Nov 2020 12:18pm","Nitrate Nitrogen","0.610","mg/L"
"M36/0473","20205928","10-Nov 2020 12:18pm","Nitrate-N Nitrite-N","0.610","g/m3"
"M36/0473","20205928","10-Nov 2020 12:18pm","Nitrite Nitrogen","<0.002","mg/L"
"M36/0473","20205928","10-Nov 2020 12:18pm","Oxidation Reduction Potential","216.300","mV"
"M36/0473","20205928","10-Nov 2020 12:18pm","pH","7.9",""
"M36/0473","20205928","10-Nov 2020 12:18pm","pH (Field)","7.71",""
"M36/0473","20205928","10-Nov 2020 12:18pm","Potassium, Dissolved","0.990","mg/L"
"M36/0473","20205928","10-Nov 2020 12:18pm","Silica, Reactive","19.100","mg/L  as SiO2"
"M36/0473","20205928","10-Nov 2020 12:18pm","Sodium, Dissolved","8.700","mg/L"
"M36/0473","20205928","10-Nov 2020 12:18pm","Sulphate","2.900","mg/L"
"M36/0473","20205928","10-Nov 2020 12:18pm","Sum of anions","1.340","meq/L"
"M36/0473","20205928","10-Nov 2020 12:18pm","Sum of cations","1.290","meq/L"
"M36/0473","20205928","10-Nov 2020 12:18pm","Total Coliforms","<1.00","number/100mL"
"M36/0473","20205928","10-Nov 2020 12:18pm","Water Temperature (Field)","12.8","C"
"M36/0473","20196920","02-Dec 2019 22:15pm","Alkalinity, Total","53.0","g/m3 as CaCO3"
"M36/0473","20196920","02-Dec 2019 22:15pm","Ammoniacal Nitrogen","<0.010","mg/L"
"M36/0473","20196920","02-Dec 2019 22:15pm","Bicarbonate","64.000","mg/L  at 25°C"
"M36/0473","20196920","02-Dec 2019 22:15pm","Boron, Dissolved","0.022","mg/L"
"M36/0473","20196920","02-Dec 2019 22:15pm","Bromide","0.018","g/m3"
"M36/0473","20196920","02-Dec 2019 22:15pm","Calcium, Dissolved","12.700","mg/L"
"M36/0473","20196920","02-Dec 2019 22:15pm","Chloride","6.500","mg/L"
"M36/0473","20196920","02-Dec 2019 22:15pm","Conductivity","13.2","mS/m"
"M36/0473","20196920","02-Dec 2019 22:15pm","Conductivity (Field)","13.00","mS/m"
"M36/0473","20196920","02-Dec 2019 22:15pm","Copper, Dissolved","0.0009","mg/L"
