ID,WELL_NO,Primary_Use,WGS84_LONGITUDE,WGS84_LATITUDE,WELL_URL
646,M34/0536,Irrigation,172.38866065845085,-43.241934348618926,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M34/0536
649,M36/4992,Irrigation,172.38451475443006,-43.67837699656862,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M36/4992
655,M35/0945,Domestic Supply,172.38658002984414,-43.49810615046129,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/0945
657,M35/7264,Domestic Supply,172.388347601585,-43.39473441900885,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/7264
658,M35/0083,Domestic Supply,172.38837116372522,-43.31988698808155,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/0083
662,M34/0525,Domestic Supply,172.39088205055677,-43.2315762535832,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M34/0525
668,M35/5985,Domestic Supply,172.38673650396944,-43.54401316830968,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/5985
678,M36/5024,Domestic Supply,172.38631143527613,-43.69577604722412,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M36/5024
680,M36/4925,Domestic Supply,172.3867758369421,-43.60162033337594,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M36/4925
684,M36/5176,Domestic Supply,172.38837937776114,-43.55293303720675,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M36/5176
686,M35/6935,Domestic Supply,172.3868080573548,-43.4778994115939,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/6935
689,M36/4991,Irrigation,172.38637329618996,-43.67608266017483,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M36/4991
697,M36/1335,Domestic Supply,172.3878854245826,-43.68851176067469,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M36/1335
702,M36/1265,Domestic Supply,172.38797820517846,-43.60522711102449,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M36/1265
706,M36/2979,Domestic Supply,172.38854738121887,-43.548523371221584,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M36/2979
707,M35/4598,Irrigation,172.38927468387342,-43.51917438760788,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/4598
709,M35/7321,Irrigation,172.3890456467439,-43.498839376750524,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/7321
710,M35/8206,Domestic Supply,172.39072338814728,-43.33124152939457,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/8206
711,M36/1521,Domestic Supply,172.38739376617272,-43.67819425661301,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M36/1521
715,M35/7350,Domestic Supply,172.38930551423846,-43.523504132803225,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/7350
